Hospital Names,Addresses,Category,Contact Info
Dr. Montano Ramos General Hospital,"Address: 46 Bukidnon Street, Bago Bantay, Quezon City",Level 2/ Secondary,Contact No.: 9276628
Tamondong Memorial Hospital,"Address: Ala, Esperanza, Sultan Kudarat",Category:Level 3/Tertiary,Contact No.064-2014546
Amosup Seamen's Hospital,"Address: Camino Vicinal St. Umapad, Mandaue City, Cebu",Category: Level 3/Tertiary,Contact Number: (032) 344-4771/ (032) 346-5998 fax
Dr. Ignacio M. Cortes General Hospital Inc.,"Address: S.B. Cabahug, Mandaue City, Cebu",Category: Level 3/Tertiary,Contact Number: (032) 345-1486/ 346-7859/ 346-0810 fax
Tomboc-Salayog Hospital,"Address: Brgy. San Emmanuel, Tacurong City",Category: Level 1/Primary,Contact No.09176115658
Dr. Sabili General Hospital & Health Services,"Address: 313 Gen. Santos Ave., Lower Bicutan, Taguig",Level 2/ Secondary,Contact No.: 8370917/
Vicente Gullas Memorial Hospital,"Address: Banilad, Mandaue City, Cebu",Category: Level 3/Tertiary,Contact Number: (032) 346-9292-93/ (032) 346-6137 fax
Valdez Mother & Child Clinic & Hosp.,"Address: 28 Nat'l Highway, Tacurong City",Sultan Kudarat,Category:Level 1/Primary
Dr.Victor R. Potenciano Medical Center,"Address: 163 EDSA, Mandaluyong City",Category: Level 4/ Specialty,Contact No.: 5314911
Mactan Doctor's Hospital,"Address: Basak, Lapu-Lapu City Cebu",Category: Level 3/Tertiary,Contact Number: (032) 341-0000
Our Lady of Rule Maternity and General Hospital,"Address: Pajo, Lapu-Lapu City Cebu",Category: level 1/Primary,Contact Number: (032) 340-7318
Cotabato Medical Specialists Hosp.,"Address:Quezon Avenue, Cotabato City",Category:Level 3/Tertiary,Contact No.064-4214146/2339
Tojong Inc. Maternity and General Hospital,"Address: P. Rodriguez St., Looc Lapu-Lapu City, Cebu",Category: Level 1/Primary,Contact Number: (032) 340-8101/ 495-8401
"Cotabato Puericulture Center General Hosp. Foundation, Inc.","Address: Don Rufino Alonzo St, Cotabato City",Category:Level 1/Primary,Contact No.064-4217323/7525
Danao Mother & Child Hospital,"Address: National Road, Danao City Cebu",Category: Level 1/Primary,Contact Number: (032) 200-4496/ 551-2138
F & P Hernandez Maternity & Lying-in Hospital,"Address: 17 Mc Arthur Hi-way, Marulas, Valenzuela city",Category: Level 1/ Primary,Contact No.:2916531
Auguis Clinic & Hospital,Address:32 North Osmeña St.,Gen. Santos City,Category:Level 1/Primary
Carmen Copper Corp. Hospital,"Address: Don Andres Soriano Toledo City, Cebu",Category: Level 1/Primary,Contact Number: (032) 325-2759
Labella Hospital,"Address:First Road, Calumpang",Gen. Santos City,Category:Level 1/Primary
Mindanao Medical Center,"Address:Cannery Road, City Heights",Gen. Santos City,Category:Level 3/Tertiary
Siliman University Medical Center,"Address: V. Aldecoa Sr. Road, Daro, Dumeguete City, Negros Oriental",Category: Level 4/Special,Contact Number: (035) 422-7166/ (035) 225-0839 fax
R.O. Diagan Cooperative Hospital,"Address: 27 Quezon Avenue, General Santos City",Category:Level 2/Secondary,Contact No.083-5523942/5534522
Our Lady of Caysasay Medical Center,"Address: V. Ilustre St., Lemery, Batangas",Category: Level 3/Tertiary,Contact No.: (043) 409-1888/0088
F.Y. Manalo Medical Foundation Inc. New Era General Hospital,"Address: Commonwealth Avenue Corner Tandang Sora, New Era, Quezon City",Category: Level 2/ Secondary,Contact No.: 9327387
Socsargen County Hospital,"Address:Bula-Lagao Road, Cor. Arradaza St.",Gen. Santos City,Category: Level 3/Tertiary
"St. Elizabeth Hospital,Inc","Address:Nat'l. Highway, Gen. Santos City",Category:Level 4/Specialty,Contact No.083-5522122
Holy Child Hospital,"Address: E. Surban St. Dumaguete City, Negros Oriental",Category: Level 3/Tertiary,Contact Number: (035) 225-0510/ (035) 422-6021 fax
Fairview General Hospital,"Address: Lot 20 Fairview Avenue, Corner Mercury Street, Brgy. Fairview, Capitol District, Quezon City",Category: Level 2/ Secondary,Contact No.: 9384797/9399689
Lemery Doctors Medical Center,"Address: R. Diokno St., Lemery, Batangas",Category: Level 3/Tertiary,Contact No.: (043) 214-2508/411-1531
Fort Bonifacio General Hospital,"Address: Fort Bonifacio,1201, Makati city",Category: Level 2/ Secondary,Contact No.: 8459555 loc. 4603
Metro Lemery Medical Center,"Address: Palanas, Lemery, Batangas",Category: Level 3/Tertiary,Contact No.: (043) 409-0480
Cagraray District Hospital,"Address: Cabasan, Bacacay Albay",Category:Level 1/Primary,Contact No.0920-3954029
Pantao District Hospital,"Address:Pantao, Libon, Albay",Category:Level 1/Primary,Contact No.none
Salazar Polyclinic,"Address: Atienza St., Lemery, Batangas",Category: Level 2/Secondary,Contact No.: (043) 411-1079
Franco Clinic and Hospital,"Address: 107 Letre Road, Tonsuya, 1473, Kalookan City",Category: Level 1/ Primary,Contact No.: 285-2853
Manito Municipal Hospital,"Address: Manito, Albay",Category:Level 1/Primary,Contact No.none
Pio Duran Memorial District Hospital,"Address: Orogo Street, Barangay II, Pio Duran",Category:Level 1/Primary,Contact No.none
Rapu-Rapu District Hospital,Address: Rapu-Rapu Albay,Category:Level 2/Secondary,Contact No.none
Josefina Belmonte Duran Memo. Dist. Hosp.,"Address: Tuburan, Ligao City",Category:Level 2/Secondary,Contact No.052-4852250
Bicol Regional Training And Teaching Hosp.,"Address: Rizal Street, Legaspi City",Category:Level 4/Specialty-DOH-Retained,Contact No.052-4830014
Ziga Memorial District Hospital,Address: Karangahan Blvd. Tabaco City Bicol,Category:Level 2/Secondary,Contact No.052-8301364
Taguig Doctors Hospital,"Address: 184 Bagumbayan, 1604 Taguig City",Category: Level 1/ Primary,Contact No.: 8370178
Hospital of the Infant Jesus,"Address: 1556 Laong Laan Road, Sampaloc, 1008, Manila",Level 4/ Specialty,Contact No.: 7312771-76/3054344
J.P. Sioson General Hospital and Colleges Inc.,"Address: 75 Bukidnon St., Bago Bantay, Quezon City",Category: Level 2/ Secondary,Contact No.: 9275643 loc. 1339/ 4554281
Ediborah T. Yap Memorial Hospital,"Address: Brgy. Limook, Lamitan, Basilan",Category: Level 1/Primary,Contact Number: 0926-6233395/ 0905-5910249
Balindong Municipal Hospital,"Address: Salipongan, Balindong Lanao del Sur",Category: Level 1/Primary,Contact Number: 0908-2160821
Dr. Serapio Montaner Jr. Al-Haj Memorial Hospital,"Address: Mabul, Malabang Lanao del Sur",Category: Level 2/Secondary,Contact Number: 0917-7267446/ 0918-7779298
Tamparan District Hospital,"Address: Poblacion, Tamparan Lanao del Sur",Category: Level 2/Secondary,Contact Number: 0919-3276653/ 305-8403
Unayan Municipal Hospital,"Address: Pagalamatan, Binidayan Lanao del Sur",Category: Level 1/Primary,Contact Number: 0906-7368318
Wao District Hospital,"Address: Wao, Lanao del Sur",Category: Level 1/Primary,Contact Number: 0917-7178799/ 0910-8619849
Camp Siongco Station Hospital,"Address: Awang, Datu Odin Sinsuat Maguindanao",Category: Level 1/Primary,Contact Number: (064) 431-0168/ 0921-4782831
Maguindanao Provincial Hospital,"Address: Shariff Aguak, Datu Odin Sinsuat Maguindanao",Category: Level 2/Secondary,Contact Number: (064) 489-0932
Buluan District Hospital,"Address: Poblacion, Buluan Maguindanao",Category: Level 2/Secondary,Contact Number: 0919-5747192/ 0926-4475075
Dinaig Municipal Hospital,"Address: Dinaig, Datu Odin Sinsuat Maguindanao",Category: Level 1/Primary,Contact Number: 0919-3288696/ 0921-3875562
Datu Blah T. Sinsuat District Hospital,"Address: North Upi, Maguindanao",Category: Level 1/Primary,Contact Number: 0918-5831991
South Upi Municipal Hospital,"Address: South Upi, Maguindanao",Category: Level 1/Primary,Contact Number: 0927-4963315/ 0918-2320727
Camp Brig. Gen. Salipada K. Pendatun Hospital,"Address: Camp BGSKP, Parang Maguindanao",Category: Level 1/Primary,Contact Number: 0929-5371932
Sulu Provincial Hospital,"Address: Jolo, Sulu",Category: Level 2/Secondary,Contact Number: 0917-7111300/ 0918-5542434
Luuk District Hospital,"Address: Luuk, Sulu",Category: Level 1/Primary,Contact Number: 0935-2394913
Parang District Hospital,"Address: Parang, Sulu",Category: Level 1/Primary,Contact Number: 0917-5059987
Siasi District Hospital,"Address: Siasi, Sulu",Category: Level 1/Primary,Contact Number: 0917-7225581
Pangutaran District Hospital,"Address: Pangutaran, Sulu",Category: Level 1/Primary,Contact Number: 0918-9064146
Datu Halun Sakilan Memorial Hospital,"Address: Bongao, Tawi-Tawi",Category: Level 1/Primary,Contact Number: 0918-9236240
Languyan Municipal Hospital,"Address: Languyan, Tawi-Tawi",Category: Level 1/Primary,Contact Number: none
Tuan Ligaddung Lipae Memorial Hospital,Address: Sapa-Sapa Tawi-Tawi,Category: Level 1/Primary,Contact Number: 0919-2519981
Cagayan de Tawi-Tawi District Hospital,"Address: Brgy. Lupa Pula, Mapun Tawi-Tawi",Category: Level 1/Primary,Contact Number: 0926-1991888/ 0916-8760230
Dr. Jose Ma. Torres Memorial Foundation Hospital Inc.,"Address: Lamitan, BasilanCategory: Level 2/Secondary",Contact Number: 0917-6322735/ 0919-8017822,
"Tamparan Medical Foundation, Inc.","Address: Picarabawan, Tamparan Lanao del SurCategory: Level 1/Primary",Contact Number: 0919-3276653,
Mapandi Memorial Hospital,"Address: 048 Buanda Blvd., Lilod Saduc Marawi City, Lanao del SurCategory: Level 1/Primary",Contact Number: 0917-8428720,
SMD General Hospital,"Address: Menor St. Pangarungan Village, Marawi City, Lanao del SurCategory: Level 2/Secondary",Contact Number: 0927-2929046,
Sohaya Medical & Diagnostic Hospital,"Address: Bangon, Marawi City, Lanao del SurCategory: Level 1/Secondary",Contact Number: 0917-7166824,
Mindalano Specialist Hospital Foundation Inc.,"Address: Panggao Saduc, Marawi City, Lanao del SurCategory: Level 2/Secondary",Contact Number: 0906-2929903,
Magrina Clinic and Hospital,"Address: Poblacion, Buluan Maguindanao",Category: Level 1/Primary,Contact Number: 0917-7030529/ 9015-7070358
Manangan Clinic and Hospital,"Address: Poblacion, Buluan Maguindanao",Category: Level 1/Primary,Contact Number: 0916-4715747/ 0926-5108837
Sulu Medical Specialists,"Address: Martirez St. Jolo, Sulu",Category: Level 1/Primary,Contact Number: 0917-7112898
Holy Family Hospital,"Address: Laguerre St. Bongao, Tawi-Tawi",Category: Level 1/Primary,Contact Number: 0930-4533716
Bongao Doctor's Hospital (Formerly Tawi-Tawi Doctor's Hospital),"Address: Brgy. Mampallan, Bongao Tawi-Tawi",Category: Level 1/Primary,Contact Number: 0919-8201666
Altavas District Hospital,"Address: Altavas, Aklan",Category: Level 1/Primary,Contact Number: (036) 264-1069
Buruanga Municipal Hospital,"Address: Buruanga, Aklan",Category: Level 1/Primary,Contact Number: 0912-5128027
Ibajay District Hospital,"Address: Ibajay, Aklan",Category: Level 1/Primary,Contact Number: (036) 289-2276
Dr. Rafael S. Tumbokon Memorial Provincial Hospital,"Address: Kalibo, Aklan",Category: Level 2/Secondary,Contact Number: (036) 268-4565
Malay Municipal Hospital,"Address: Malay, Aklan",Category: Level 1/Primary,Contact Number: (036) 288-8729
Don Leovigildo Diapo Sr. Municipal Hospital,"Address: Madalag, AklanCategory: Level 1/Primary",Contact Number: none,
Dr. Ramon B. Legaspi Sr. Memorial Hospital,"Address: Makato, AklanCategory: Level 1/Primary",Contact Number: (036) 276-6644 / 276-6329,
Don Ciriaco S. Tirol Sr. Memorial Hospital,"Address: Boracay Island, Malay Aklan",Category: Level 1/Primary,Contact Number: (036) 288-3041
Pedro L. Gindap Municipal Hospital,"Address: Barbaza, Antique",Category: Level 1/Primary,Contact Number: none
Bugasong Medicare Community Hospital,"Address: Bugasong, Antique",Category: Level 1/Primary,Contact Number: none
Culasi District Hospital,"Address: Culasi, Antique",Category: Level 2/Secondary,Contact Number: (036) 288-8241
Justice Calixto O. Zaldivar Memorial Hospital (Formerly Gov. Leandro Fullon District Hospital),"Address: Pandan, Antique",Category: Level 1/Primary,Contact Number: (036) 278-9041
Angel Salazar Memorial General Hospital,"Address: Brgy. Atabay, San Jose Antique",Category: Level 3/Tertiary,Contact Number: (036) 330-1830
Sebaste Community Hospital,"Address: Sebaste, Antique",Category: Level 1/Primary,Contact Number: (036) 278-2041
Ramon Masa Sr. Memorial District Hospital,"Address: Sibalom, Antique",Category: Level 2/Secondary,Contact Number: (036) 543-7670
Pres. Diosdado Macapagal District Hospital,"Address: Tobias Fornier, Antique",Category: Level 1/Primary,Contact Number: none
Valderrama Municipal Hospital,"Address: Valderrama, Antique",Category: Level 1/Primary,Contact Number: none
Sen. Gerardo Roxas Memorial District Hospital,"Address: Dao, Capiz",Category: Level 1/Primary,Contact Number: (036) 534-1039
Camp Peralta Station Hospital,"Address: Jamindan, Capiz",Category: Level 1/Primary,Contact Number: (036) 784-8236/68
Mambusao District Hospital,"Address: Mambusao, Capiz",Category: Level 2/Secondary,Contact Number: (036) 647-0641
Bailan District Hospital,"Address: Bailan, Pontevedra Capiz",Category: Level 2/Secondary,Contact Number: (036) 634-0381
Tapaz District Hospital,"Address: Tapaz, Capiz",Category: Level 2/Secondary,Contact Number: (036) 538-0049
Roxas Memorial Provincial Hospital,"Address: Arnaldo Blvd., Roxas City Capiz",Category: Level 3/Tertiary,Contact Number: (036) 621-0821/30
Buenavista Emergency Hospital,"Address: Buenavista, Guimaras",Category: Level 1/Primary,Contact Number: (033) 580-7892
Guimaras Provincial Hospital,"Address: Jordan, Guimaras",Category: Level 2/Secondary,Contact Number: (033) 581-3155/ 237-1492
Nueva Valencia District Hospital,"Address: Lanipe, Nueva Valencia Guimaras",Category: Level 1/Primary,Contact Number: none
Aleosan District Hospital,"Address: Alimodian, Iloilo",Category: Level 1/Primary,Contact Number: (033) 331-0602
Barotac Viejo District Hospital,Address: Barotac Viejo Iloilo,Category: Level 1/Primary,Contact Number: (033) 362-0300 to 34
Ramon Tabiana Memorial District Hospital,"Address: Cabatuan, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 522-8494/ 522-8549
Dr. Ricardo S. Provido Sr. Memorial Hospital,"Address: Calinog, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 347-1919/ 347-1600
Dumangas District Hospital,"Address: Dumangas, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 361-2229/ 361-2429
Rep. Pedro Trono Memorial District Hospital,"Address: Guimbal, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 315-5551
Federico Roman Tirador Sr. Memorial District Hospital,"Address: Janiuay, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 317-1319
Dr. Ricardo Y. Ladrido Memorial District Hospital,"Address: Lambunao, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 533-7350
New Lucena Polytechnic College Medical Clinic and Hospital,"Address: New Lucena, Iloilo",Category: Level 1/Primary,Contact Number: (033) 526-2014
Don Jose S. Monfort Medical Center,"Address: Barotac Nuevo, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 361-2010 to 11
Iloilo Provincial Hospital,"Address: Pototan, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 529-7495 to 98
Western Visayas Sanitarium,Address: Sta. Barbara Iloilo,Category: Level 2/Secondary,Contact Number: (033) 523-9515
Sara District Hospital,"Address: Sara, IloiloCategory: Level 2/Secondary",Contact Number: (033) 392-0244,
Western Visayas Medical Center,"Address: Mandurriao, Iloilo City",Category: Level 4/Specialty,Contact Number: (033) 321-2841/ 321-3521
West Visayas State University Medical Center,"Address: E. Lopez St. Jaro, Iloilo City",Category: Level 4/Specialty,Contact Number: (033) 320-0870/ 320-2431
Don Valero Palmares Sr. Memorial District Hospital,Address: Passi City Iloilo,Category: Level 2/Secondary,Contact Number: (033) 311-5453/367-1641
Hinigaran Medical Clinic,"Address: Hinigaran, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 391-7129
Cauayan District Hospital,"Address: Cauayan, Negros Occidental",Category: Level 1/Primary,Contact Number: 0930-6848327
Binalbagan Infirmary,"Address: Binalbagan, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 388-7701
Calatrava Municipal Hospital,"Address: Calatrava, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 727-7779
Gov. Valeriano Gatuslao Memorial District Hospital,"Address: Himamaylan, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 388-3783/744-7274
Jesus M. Colmenares District Hospital,"Address: Balasan, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 397-0879
Eleuterio T. Decena Memorial Hospital,"ddress: Bacuyangan, Hinoba-an Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 471-3645
Ignacio Lacson Arroyo Sr. Memorial District Hospital,"Address: Isabela, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 387-2691
Valladolid District Hospital,"Address: Valladolid, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 461-0360
Corazon Locsin Montelibano Memorial Regional Hospital,"Address: Lacson St. Bacolod City, Negros Occidental",Category: Level 4/Specialty,Contact Number: (034) 435-1591/ 434-6947
Bago City Hospital,"Address: Brgy. Balingasag, Bago City Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 461-0553/ 461-0172
Cadiz District Hospital,"Address: Brgy. Daga National Highway, Hacienda Hortencia, Cadiz City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 213-0236 to 37
Javillonar Clinic & Hospital,"Address: 73 Dr. Pilapil Street, Sagad, 1600, Pasig City",Category: Level 1/Primary,Contact No.: 6412303
Vicente Gustilo Memorial District Hospital,"Address: Escalante City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 213-0231
Kabankalan City Hospital,"Address: Kabankalan City, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 473-0547
Lorenzo D. Zayco District Hospital,"Address: Kabankalan City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 471-3645/ 471-3635
Dr. Gumersindo Garcia Sr. Memorial Hospital,"Address: Kabankalan City, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 471-2113
St. Jude's Hospital,"Address: Kalibo, Aklan",Category: Level 2/Secondary,Contact Number: (036) 268-8864
"Lady of Lourdes Hospital of Caybiga, Inc.","Address: 15 Gen. Luis Stre, Caybiga,1420, Kalookan City",Category: Level 2/ Secondary,Contact No.: 9835582
Don Salvador Benedicto Memorial Hospital,"Address: La Carlota City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 460-3360
Alfredo Maranon Sr. Memorial Hospital,"Address: Brgy. Bato, Sagay City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 722-4819/ 488-0167
Las Piñas City Doctors Hospital Inc,"Address: 8009 J.I. Aguilar Avenue, Pulang Lupa II, 1750, Las Piñas City",Category: Level 4/ Specialty,Contact No.: 8297715
San Carlos City Hospital,"Address: San Carlos City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 729-4151/ 312-5934
Teresita L. Jalandoni Provincial Hospital,"Address: Silay City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 495-1736/ 714-8485
Las Piñas City Medical Center,"Address: 1314 Marcos Alvarez,Talon V, Las Piñas City",Level 3/ Tertiary,Contact No.: 8005695 loc. 509
Aklan Cooperative Mission Hospital,"Address: Kalibo, Aklan",Category: Level 2/Secondary,Contact Number: (036) 262-4704/ 262-3925
Manila Adventist Medical Center & Colleges Inc.,"Address: 1975 Donada Street, 1300, Pasay City",Level 4/ Specialty,Contact No.: 5259191 loc. 102
St. Gabriel Hospital,"Address: Kalibo, Aklan",Category: Level 3/Tertiary,Contact Number: (036) 262-7193/ 262-7315
Aklan Baptist Hospital,"Address: Caticlan, Malay AklanCategory: Level 2/Secondary",Contact Number: (036) 288-7063,
Tugon Medical Clinic and Hospital,"Address: Pandan, AntiqueCategory: Level 1/Primary",Contact Number: (036) 278-9100,
Hospital de San Juan Bautista,"Address: Kap. Isko, Brgy II, Lian , Batangas",Category: Level 2/Secondary,Cotnact No.: (043) 333-0269
Don Ramon Tugbang Medical Center (Formerly Barotac Viejo Medical Center),"Address: Zulueta Drive, Barotac Viejo, Iloilo",Category: Level 2/Secondary,Contact Number: (033) 362-0262 to 64
Semirara Mining Corporation Hospital,"Address: Semirara, Caluya Antique",Category: Level 1/Primary,Contact Number: 0921-8488995
Manila Doctors Hospital,"Address: 667 U.N. Avenue, Ermita, 1000, Manila",Category: Level 4/ Specialty,Contact No.: 5243011/5247376
Great Saviour International Hospital,"Address: Solis St. Tap-oc, Molo, Iloilo City",Category: Level 3/Tertiary,Contact Number: (033) 508-2227
Manila Naval Hospital,"Address: Bonifacio Naval Station, Fort Bonifacio, Taguig City",Level 2/ Secondary,Contact No.: 8928261
Iloilo Mission Hospital,"Address: Mission Road, Jaro, Iloilo City",Category: Level 4/Specialty,Contact NumberL (033) 320-0321
Zigzag Hospital,"Address: P. Niogan, Mabini, Batangas",Category: Level 1/Primary,Contact No.: (043) 487-0645
Maria Lourdes Maternity Hospital,"Address: 1076 Don Chino Roces Avenue, 1231, Makati City",Level 1/ Primary,Contact No.: 8953846/8953847
St. Paul's Hospital,Address: Gen. Luna St. Iloilo CityCategory: Level 4/Specialty,Contact Number: (033) 337-2741/ 335-1177,
Martinez Memorial Hospital,"Address: 198 Mabini Street, 1400 , Kalookan City",Level 2/ Specialty,Contact No.: 2888661
Amosup Seamen's Hospital,"Address: Onate St., Mandurriao, Iloilo City",Category: Level 3/Tertiary,Contact Number: (033) 362-0262
Iloilo Doctor's Hospital Inc.,"Address: West Avenue, Molo, Iloilo City",Category: Level 4/Specialty,Contact Number: (033) 508-7045
Mary Chiles General Hospital,"Address: 667 Gastambide Street, Sampaloc, 1008. Manila",Level 4/ Specialty,Contact No.: 7355341
St. Therese MTC College Hospital,"Address: Jalandoni, San Agustin, Iloilo City",Category: Level 3/Tertiary,Contact Number: (033) 508-2227
St. Anthony College Hospital,"Address: San Roque Ext. Roxas City, Capiz",Category: Level 3/Tertiary,Contact Number: (036) 621-6003
St. Nazarius Medical Clinic,"Address: Pres. Laurel Highway, Malvar, Batangas",Category: Level 1/Primary,Contact No.: (043) 406-0704
Mary Immaculate Hospital,"Address: E. Rodriguez Ave., Bagong Ilog, 1600, Pasig City",Level 2/ Secondary,Contact No.: 6713928
Capiz Doctor's Hospital,"Address: Fuentes Drive, Roxas City, Capiz",Category: Level 2/Secondary,Contact Number: (036) 621-5673 to 75
Capiz Emmanuel Hospital Inc.,"Address: Roxas Avenue, Roxas City, Capiz",Category: Level 3/Tertiary,Contact Number: (036) 621-4765
Medical Center Manila,"Address: 1122 Gen. Luna St., Ermita, 1000, Manila",Level 4/ Specialty,Contact No.: 5243440
Bacolod Adventist Medical Center,"Address: Taculing, Bacolod City, Negros Occidental",Category: Level 4/Specialty,Contact Number: (034) 433-2255/ 432-0001
Mataas na Kahoy Community Hospital,"Address: Rafael Lubis St., Mataas na Kahoy, Batangas",Category: Level 2/Secondary,Contact No.: (043) 756-2279
Metro Psychotherapy Facility,"Address: 520 Dr. Sixto Antonio Avenue, Maybunga, Pasig City",Contact No.: 026436006,
The Doctors Hospital Inc.,"Address: B.S. Aquino Drive, Bacolod City Negros Occidental",Category: Level 4/Specialty,Contact Number: (034) 433-1256
Dr. Pablo S. Torre Sr. Memorial Hospital,"Address: Sen. B. Aquino Drive, Bacolod City, Negros Occidental",Category: Level 4/Specialty,Contact Number: (034) 433-4093
Central Azucarrera Don Pedro Hospital,"Address: Lumbagan, Nasugbu, Batangas",Category: Level 2/Secondary,Contact No.: 931-1035
Bacolod Our Lady of Mercy Specialty Hospital,"Address: Eureco, Mandalagan Bacolod City, Negros Occidental",Category: Level 3/Tertiary,Contact Number: (034) 434-9274
Metropolitan Hospital,"Address: 1357 Masangkay Street, Tondo, 1012. Manila",Level 4/ Specialty,Contact No.: 2547356
Southern Negros Doctors' Hospital,"Address: Don Emilio Village, Kabankalan City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 471-3353
Mission Hospital,"Address: Km. 17 Ortigas Avenue Extension, Rosario 1600, Pasig City",Level 2/ Secondary,Contact No.: 6562816/0877/6554337
San Carlos Doctors' Hospital,"Address: National Highway, San Carlos City, Negros Occidental",Category: Level 2/Secondary,Contact Number: (034) 729-4049/729-4050/312-5609
Mother Regina Medical Facilites Inc. (Formerly Mother Regina Hospital),"Address: 2 Ruby Street, Dona Juana Subdivision, Rosario, 1609, Pasig City",Level 2/ Secondary,Contact No.: 6412922/6413360
Immaculate Concepcion Health Center,"Address: Victorias City, Negros Occidental",Category: Level 1/Primary,Contact Number: (034) 399-2719
Metropolitan Medical Center - Nasugbu Branch,"Address: Brgy. Batulao, Nasugbu, Batangas",Category: Level 3/Tertiary,Contact No.: (043) 596-4374 loc. 1100
Lopez District Farmers Hospital,"Address: Sagay City, Negros Occidental",Category: Level 2/Secondary,Contact Number:
M-TECH Medical Hospital,"Address: 379 Sen. Gil Puyat Avenue, Makati City",Contact No.: 8966751,
New Bilibid Prisons Hospital,"Address: Bu. of Corrections, NBP Reservation, 1702, Muntinlupa City",Level 2/ Secondary,Contact No.: 8500143
Baliuag District Hospital,"Address: Carpa Village, Sabang, Baliuag, Bulacan, Philippines",Category: Level 2/ Secondary,Contact No.: 044-7662364/2338
Rugay Maternity and General Hospital,"Address: Sabang, Baliuag 237 M. Ponce St., Baliuag, Bulacan, Philippines",Category: Level 2/ Secondary,Contact No.: 044-7663457;7664629
Gregorio Del Pilar District Hospital,"Address: Bagumbayan, Bulacan, Hilario St., Pob. Bustos",Category: Level 2/Secondary,Contact No.: 044-7920119; Fax: 7922920
North Caloocan Doctors Hospital,"Address: Lot 31, Blk. 10, Bankers Village 2, Quirino, Highway, Kalookan City",Level 2/ Secondary,Contact No.: 9615213
Overseas Contact Workers General Hospital,"Address: 39 Tandang Sora Avenue, Brgy. Culiat, Quezon City",Level 2/ Secondary,Contact No.: 9313529
Gregorio Del Pilar District Hospital,"Address: Bagumbayan, Bulacan, Bulacan, Philippines",Category: Level 2/ Secondary,Contact No.: 044-7920119; Fax: 7922920
Olivarez General Hospital,"Address: Dr. A. Santos Avenue, Sucat Road, 1700, Paranaque City",Level 2/ Secondary,Contact No.: 8258747
Gregorio Del Pilar District Hospital,"Address: Bagumbayan, Bulacan, Hilario St., Pob. Bustos",Category: Level 2/Secondary,Contact No.: 044-7920119; Fax: 7922920
Our Lady of Grace Hospital,"Address: 8th Avenue cor F. Roxas St,, Grace Park,1400, Kalookan city",Level 2/ Secondary,Contact No.: 3611124
Dr. Romeo Isana Rosales General Hospital,"Address: Batangas-Quezon Road, Padre Garcia, Batangas",Category: Level 2/Secondary,Contact No.: (043) 515-9190
Palma-Malaluan Hospital,"Address: J. Magtibay St., Rosario, Batangas",Category: Level 2/Secondary,Contact No.: (043) 321-1410/0322
Our Lady of Lourdes Hospital,"Address: 46 P. Sanchez Street, Sta. Mesa, Manila",Level 4/ Specialty,Contact No.: 7163901 to 20/7140046
Sto. Rosario Hospital,"Address: V. Escano cor. Recto Sts., Rosario, Batangas",Category: Level 2/Secondary,Contact No.: (043) 321-1025
Our Lady of Peace Hospital,"Address: Coastal Road, Brgy, San Dionisio,Paranaque",Level 2/ Secondary,Contact No.: 8295775/5720
Untalan General Hospital,"Address: 87 Gualberto Ave., Rosario, Batangas",Category: Level 2/Secondary,Contact No.: (043) 321-1563
Solomon's Clinic,"Address: Gen. Luna St., San Juan, Batangas",Category: Level 1/Primary,Contact No.: (043) 575-4097
Divine Care Hospital Multi Services Corp.,"Address: National Highway, Sico II, San Juan, Batangas",Category: Level 2/Secondary,Contact No.: (043) 575-3408
"San Juan Doctor's Hospital, Inc.","Address: Pulo, Calit-Calit, San Juan, Batangas",Category: Level 2/Secondary,Contact No.: (043) 575-3138
