Hospital_Names,Addresses,Category,Contact_Info
Lu Clinic And Hospital,"National Highway, Tacurong City, Sultan Kudarat",level 2/secondary,
Tagbilaran Community Hospital Inc.,"#49 M. Parras St. Tagbilaran City, Bohol",Level 3,(038) 411-3324/ 411-4019/ (038) 411-4815 fax
Matias Clinic And Hospital,"Isulan, Sultan Kudarat",Level 1/Primary,064-2014235
Tagbilaran Maternity and Children's Hospital Inc.,"#169-J, A Clarin St. Tagbilaran City, Bohol",Level 1-Special,(038) 411-3191
Reinhard Wirtgen Memorial Hospital,"Poblacion, Alegria Cebu",Level 1/Primary,(032) 476-8028/ 476-8029
Mmgh & Health Services Coop. Of Tacurong,"Cor. Roxas & Alunan Avenue, Tacurong City Sultan Kudarat",Level 1/Primary,064-2004642
SWU Argao Community Hospital,"Lamacan, Argao Cebu",Level 1/Primary,(032) 367-7143
Dr. Jesus Delgado Memorial Hospital,"7 Kamuning Road, Quezon City, Philippines",Level 4/ Specialty,9244051-61
Pantinople Medical Clinic,M.J. Cuenco St. Poblacion Argao Cebu,Level 1/Primary,(032) 367-7342
Our Lady Of Hope Medical Clinic & Hospital,"Esperanza, Sultan Kudarat",Level 1/Primary,064-2026058
Dumdum Medical Clinic,M.J. Cuenco St. Poblacion Argao Cebu,Level 1/Primary,(032) 367-7342
Dr. Ildefonso Alcantara Memorial Hospital,Sarmiento St. Dalaguete Cebu,Level 2/Secondary,(032) 332-484-8681
Quijano Clinic & Hospital,"National Highway, Tacurong City",Level 2/Secondary,064-2004177/3713
Dr. Mirando Unciano Sr. Medical Center,"V. Mapa Street, Sta. Mesa, Manila",Level 2/ Secondary,7167291/92
Julio Cardinal Rosales Memorial Hospital,"Poblacion, Dalaguete Cebu",Level 2/Secondary,(032) 484-8601
Romualdez-Katiku Community Hospital,"Romualdez, Pres. Quirino, Sultan Kudarat",level 1/primary,
Sandig Medical Clinic & Hospital,"Ledesma St, Tacurong City, Sultan Kudarat",level 2/secondary,
Cebu South General Hospital,"National Road, Tuyan Naga, Cebu",Level 3/Tertiary,(032) 489-8080/ 272-2222
Baking Medical Center,Minglanilla Cebu City,Level 1/Primary,(032) 272-3231
Dr. Montano G. Ramos Gen. Hospital,"141 Mindanao Avenue, Bahay Toro, Project 8, Quezon City",Level 1/Primary,9276628
Bogo Medellin Medical Center,"Medellin, Cebu",Level 2/Secondary,(032) 436-9734
Deiparine Medical Clinic,"Sibonga, Cebu",Level 1/Primary,(032) 486-9253
"Sultan Kudarat Doctors Hospital, Inc.","National Highway, Tacurong City, Sultan Kudarat",level 2/secondary,
"Sultan Kudarat Medical Specialist Center, Inc.","Alunan Highway, Tacurong City, sultan Kudarat",level 1/primary,
Cebu Puericulture Center & Maternity Hospital,"B. Rodriguez, Cebu City",Level 2-Special,(032) 254-9731/ (032) 255-4792 fax
Dr. Montano Ramos General Hospital,"46 Bukidnon Street, Bago Bantay, Quezon City",Level 2/ Secondary,9276628
Tamondong Memorial Hospital,"Ala, Esperanza, Sultan Kudarat",Level 3/Tertiary,064-2014546
Amosup Seamen's Hospital,"Camino Vicinal St. Umapad, Mandaue City, Cebu",Level 3/Tertiary,(032) 344-4771/ (032) 346-5998 fax
Dr. Ignacio M. Cortes General Hospital Inc.,"S.B. Cabahug, Mandaue City, Cebu",Level 3/Tertiary,(032) 345-1486/ 346-7859/ 346-0810 fax
Tomboc-Salayog Hospital,"Brgy. San Emmanuel, Tacurong City",Level 1/Primary,09176115658
Dr. Sabili General Hospital & Health Services,"313 Gen. Santos Ave., Lower Bicutan, Taguig",Level 2/ Secondary,8370917/
Vicente Gullas Memorial Hospital,"Banilad, Mandaue City, Cebu",Level 3/Tertiary,(032) 346-9292-93/ (032) 346-6137 fax
Valdez Mother & Child Clinic & Hosp.,"28 Nat'l Highway, Tacurong City, Sultan Kudarat",level 1/primary,
Dr.Victor R. Potenciano Medical Center,"163 EDSA, Mandaluyong City",Level 4/ Specialty,5314911
Mactan Doctor's Hospital,"Basak, Lapu-Lapu City Cebu",Level 3/Tertiary,(032) 341-0000
Our Lady of Rule Maternity and General Hospital,"Pajo, Lapu-Lapu City Cebu",level 1/Primary,(032) 340-7318
Cotabato Medical Specialists Hosp.,"Quezon Avenue, Cotabato City",Level 3/Tertiary,064-4214146/2339
Tojong Inc. Maternity and General Hospital,"P. Rodriguez St., Looc Lapu-Lapu City, Cebu",Level 1/Primary,(032) 340-8101/ 495-8401
"Cotabato Puericulture Center General Hosp. Foundation, Inc.","Don Rufino Alonzo St, Cotabato City",Level 1/Primary,064-4217323/7525
Danao Mother & Child Hospital,"National Road, Danao City Cebu",Level 1/Primary,(032) 200-4496/ 551-2138
F & P Hernandez Maternity & Lying-in Hospital,"17 Mc Arthur Hi-way, Marulas, Valenzuela city",Level 1/ Primary,2916531
Auguis Clinic & Hospital,"32 North Osmeña St., Gen. Santos City",level 1/primary,
Carmen Copper Corp. Hospital,"Don Andres Soriano Toledo City, Cebu",Level 1/Primary,(032) 325-2759
Labella Hospital,"First Road, Calumpang, Gen. Santos City",level 1/primary,
Mindanao Medical Center,"Cannery Road, City Heights, Gen. Santos City",level 3/tertiary,
Siliman University Medical Center,"V. Aldecoa Sr. Road, Daro, Dumeguete City, Negros Oriental",Level 4/Special,(035) 422-7166/ (035) 225-0839 fax
R.O. Diagan Cooperative Hospital,"27 Quezon Avenue, General Santos City",Level 2/Secondary,083-5523942/5534522
Our Lady of Caysasay Medical Center,"V. Ilustre St., Lemery, Batangas",Level 3/Tertiary,(043) 409-1888/0088
F.Y. Manalo Medical Foundation Inc. New Era General Hospital,"Commonwealth Avenue Corner Tandang Sora, New Era, Quezon City",Level 2/ Secondary,9327387
Socsargen County Hospital,"Bula-Lagao Road, Cor. Arradaza St., Gen. Santos City",level 3/tertiary,
"St. Elizabeth Hospital,Inc","Nat'l. Highway, Gen. Santos City",Level 4/Specialty,083-5522122
Holy Child Hospital,"E. Surban St. Dumaguete City, Negros Oriental",Level 3/Tertiary,(035) 225-0510/ (035) 422-6021 fax
Fairview General Hospital,"Lot 20 Fairview Avenue, Corner Mercury Street, Brgy. Fairview, Capitol District, Quezon City",Level 2/ Secondary,9384797/9399689
Lemery Doctors Medical Center,"R. Diokno St., Lemery, Batangas",Level 3/Tertiary,(043) 214-2508/411-1531
Fort Bonifacio General Hospital,"Fort Bonifacio,1201, Makati city",Level 2/ Secondary,
Metro Lemery Medical Center,"Palanas, Lemery, Batangas",Level 3/Tertiary,(043) 409-0480
Cagraray District Hospital,"Cabasan, Bacacay Albay",Level 1/Primary,0920-3954029
Pantao District Hospital,"Pantao, Libon, Albay",Level 1/Primary,
Salazar Polyclinic,"Atienza St., Lemery, Batangas",Level 2/Secondary,(043) 411-1079
Franco Clinic and Hospital,"107 Letre Road, Tonsuya, 1473, Kalookan City",Level 1/ Primary,285-2853
Manito Municipal Hospital,"Manito, Albay",Level 1/Primary,
Pio Duran Memorial District Hospital,"Orogo Street, Barangay II, Pio Duran",Level 1/Primary,
Rapu-Rapu District Hospital,Rapu-Rapu Albay,Level 2/Secondary,
Josefina Belmonte Duran Memo. Dist. Hosp.,"Tuburan, Ligao City",Level 2/Secondary,052-4852250
Bicol Regional Training And Teaching Hosp.,"Rizal Street, Legaspi City",Level 4/Specialty-DOH-Retained,052-4830014
Ziga Memorial District Hospital,Karangahan Blvd. Tabaco City Bicol,Level 2/Secondary,052-8301364
Taguig Doctors Hospital,"184 Bagumbayan, 1604 Taguig City",Level 1/ Primary,8370178
Hospital of the Infant Jesus,"1556 Laong Laan Road, Sampaloc, 1008, Manila",Level 4/ Specialty,7312771-76/3054344
J.P. Sioson General Hospital and Colleges Inc.,"75 Bukidnon St., Bago Bantay, Quezon City",Level 2/ Secondary,1339/ 4554281
Ediborah T. Yap Memorial Hospital,"Brgy. Limook, Lamitan, Basilan",Level 1/Primary,0926-6233395/ 0905-5910249
Balindong Municipal Hospital,"Salipongan, Balindong Lanao del Sur",Level 1/Primary,0908-2160821
Dr. Serapio Montaner Jr. Al-Haj Memorial Hospital,"Mabul, Malabang Lanao del Sur",Level 2/Secondary,0917-7267446/ 0918-7779298
Tamparan District Hospital,"Poblacion, Tamparan Lanao del Sur",Level 2/Secondary,0919-3276653/ 305-8403
Unayan Municipal Hospital,"Pagalamatan, Binidayan Lanao del Sur",Level 1/Primary,0906-7368318
Wao District Hospital,"Wao, Lanao del Sur",Level 1/Primary,0917-7178799/ 0910-8619849
Camp Siongco Station Hospital,"Awang, Datu Odin Sinsuat Maguindanao",Level 1/Primary,(064) 431-0168/ 0921-4782831
Maguindanao Provincial Hospital,"Shariff Aguak, Datu Odin Sinsuat Maguindanao",Level 2/Secondary,(064) 489-0932
Buluan District Hospital,"Poblacion, Buluan Maguindanao",Level 2/Secondary,0919-5747192/ 0926-4475075
Dinaig Municipal Hospital,"Dinaig, Datu Odin Sinsuat Maguindanao",Level 1/Primary,0919-3288696/ 0921-3875562
Datu Blah T. Sinsuat District Hospital,"North Upi, Maguindanao",Level 1/Primary,0918-5831991
South Upi Municipal Hospital,"South Upi, Maguindanao",Level 1/Primary,0927-4963315/ 0918-2320727
Camp Brig. Gen. Salipada K. Pendatun Hospital,"Camp BGSKP, Parang Maguindanao",Level 1/Primary,0929-5371932
Sulu Provincial Hospital,"Jolo, Sulu",Level 2/Secondary,0917-7111300/ 0918-5542434
Luuk District Hospital,"Luuk, Sulu",Level 1/Primary,0935-2394913
Parang District Hospital,"Parang, Sulu",Level 1/Primary,0917-5059987
Siasi District Hospital,"Siasi, Sulu",Level 1/Primary,0917-7225581
Pangutaran District Hospital,"Pangutaran, Sulu",Level 1/Primary,0918-9064146
Datu Halun Sakilan Memorial Hospital,"Bongao, Tawi-Tawi",Level 1/Primary,0918-9236240
Languyan Municipal Hospital,"Languyan, Tawi-Tawi",Level 1/Primary,
Tuan Ligaddung Lipae Memorial Hospital,Sapa-Sapa Tawi-Tawi,Level 1/Primary,0919-2519981
Cagayan de Tawi-Tawi District Hospital,"Brgy. Lupa Pula, Mapun Tawi-Tawi",Level 1/Primary,0926-1991888/ 0916-8760230
Dr. Jose Ma. Torres Memorial Foundation Hospital Inc.,,Level 2/Secondary,0917-6322735/ 0919-8017822
"Tamparan Medical Foundation, Inc.",,Level 1/Primary,0919-3276653
Mapandi Memorial Hospital,,Level 1/Primary,0917-8428720
SMD General Hospital,,Level 2/Secondary,0927-2929046
Sohaya Medical & Diagnostic Hospital,,Level 1/Secondary,0917-7166824
Mindalano Specialist Hospital Foundation Inc.,,Level 2/Secondary,0906-2929903
Magrina Clinic and Hospital,"Poblacion, Buluan Maguindanao",Level 1/Primary,0917-7030529/ 9015-7070358
Manangan Clinic and Hospital,"Poblacion, Buluan Maguindanao",Level 1/Primary,0916-4715747/ 0926-5108837
Sulu Medical Specialists,"Martirez St. Jolo, Sulu",Level 1/Primary,0917-7112898
Holy Family Hospital,"Laguerre St. Bongao, Tawi-Tawi",Level 1/Primary,0930-4533716
Bongao Doctor's Hospital (Formerly Tawi-Tawi Doctor's Hospital),"Brgy. Mampallan, Bongao Tawi-Tawi",Level 1/Primary,0919-8201666
Altavas District Hospital,"Altavas, Aklan",Level 1/Primary,(036) 264-1069
Buruanga Municipal Hospital,"Buruanga, Aklan",Level 1/Primary,0912-5128027
Ibajay District Hospital,"Ibajay, Aklan",Level 1/Primary,(036) 289-2276
Dr. Rafael S. Tumbokon Memorial Provincial Hospital,"Kalibo, Aklan",Level 2/Secondary,(036) 268-4565
Malay Municipal Hospital,"Malay, Aklan",Level 1/Primary,(036) 288-8729
Don Leovigildo Diapo Sr. Municipal Hospital,,Level 1/Primary,
Dr. Ramon B. Legaspi Sr. Memorial Hospital,,Level 1/Primary,(036) 276-6644 / 276-6329
Don Ciriaco S. Tirol Sr. Memorial Hospital,"Boracay Island, Malay Aklan",Level 1/Primary,(036) 288-3041
Pedro L. Gindap Municipal Hospital,"Barbaza, Antique",Level 1/Primary,
Bugasong Medicare Community Hospital,"Bugasong, Antique",Level 1/Primary,
Culasi District Hospital,"Culasi, Antique",Level 2/Secondary,(036) 288-8241
Justice Calixto O. Zaldivar Memorial Hospital (Formerly Gov. Leandro Fullon District Hospital),"Pandan, Antique",Level 1/Primary,(036) 278-9041
Angel Salazar Memorial General Hospital,"Brgy. Atabay, San Jose Antique",Level 3/Tertiary,(036) 330-1830
Sebaste Community Hospital,"Sebaste, Antique",Level 1/Primary,(036) 278-2041
Ramon Masa Sr. Memorial District Hospital,"Sibalom, Antique",Level 2/Secondary,(036) 543-7670
Pres. Diosdado Macapagal District Hospital,"Tobias Fornier, Antique",Level 1/Primary,
Valderrama Municipal Hospital,"Valderrama, Antique",Level 1/Primary,
Sen. Gerardo Roxas Memorial District Hospital,"Dao, Capiz",Level 1/Primary,(036) 534-1039
Camp Peralta Station Hospital,"Jamindan, Capiz",Level 1/Primary,(036) 784-8236/68
Mambusao District Hospital,"Mambusao, Capiz",Level 2/Secondary,(036) 647-0641
Bailan District Hospital,"Bailan, Pontevedra Capiz",Level 2/Secondary,(036) 634-0381
Tapaz District Hospital,"Tapaz, Capiz",Level 2/Secondary,(036) 538-0049
Roxas Memorial Provincial Hospital,"Arnaldo Blvd., Roxas City Capiz",Level 3/Tertiary,(036) 621-0821/30
Buenavista Emergency Hospital,"Buenavista, Guimaras",Level 1/Primary,(033) 580-7892
Guimaras Provincial Hospital,"Jordan, Guimaras",Level 2/Secondary,(033) 581-3155/ 237-1492
Nueva Valencia District Hospital,"Lanipe, Nueva Valencia Guimaras",Level 1/Primary,
Aleosan District Hospital,"Alimodian, Iloilo",Level 1/Primary,(033) 331-0602
Barotac Viejo District Hospital,Barotac Viejo Iloilo,Level 1/Primary,(033) 362-0300 to 34
Ramon Tabiana Memorial District Hospital,"Cabatuan, Iloilo",Level 2/Secondary,(033) 522-8494/ 522-8549
Dr. Ricardo S. Provido Sr. Memorial Hospital,"Calinog, Iloilo",Level 2/Secondary,(033) 347-1919/ 347-1600
Dumangas District Hospital,"Dumangas, Iloilo",Level 2/Secondary,(033) 361-2229/ 361-2429
Rep. Pedro Trono Memorial District Hospital,"Guimbal, Iloilo",Level 2/Secondary,(033) 315-5551
Federico Roman Tirador Sr. Memorial District Hospital,"Janiuay, Iloilo",Level 2/Secondary,(033) 317-1319
Dr. Ricardo Y. Ladrido Memorial District Hospital,"Lambunao, Iloilo",Level 2/Secondary,(033) 533-7350
New Lucena Polytechnic College Medical Clinic and Hospital,"New Lucena, Iloilo",Level 1/Primary,(033) 526-2014
Don Jose S. Monfort Medical Center,"Barotac Nuevo, Iloilo",Level 2/Secondary,(033) 361-2010 to 11
Iloilo Provincial Hospital,"Pototan, Iloilo",Level 2/Secondary,(033) 529-7495 to 98
Western Visayas Sanitarium,Sta. Barbara Iloilo,Level 2/Secondary,(033) 523-9515
Sara District Hospital,,Level 2/Secondary,(033) 392-0244
Western Visayas Medical Center,"Mandurriao, Iloilo City",Level 4/Specialty,(033) 321-2841/ 321-3521
West Visayas State University Medical Center,"E. Lopez St. Jaro, Iloilo City",Level 4/Specialty,(033) 320-0870/ 320-2431
Don Valero Palmares Sr. Memorial District Hospital,Passi City Iloilo,Level 2/Secondary,(033) 311-5453/367-1641
Hinigaran Medical Clinic,"Hinigaran, Negros Occidental",Level 1/Primary,(034) 391-7129
Cauayan District Hospital,"Cauayan, Negros Occidental",Level 1/Primary,0930-6848327
Binalbagan Infirmary,"Binalbagan, Negros Occidental",Level 1/Primary,(034) 388-7701
Calatrava Municipal Hospital,"Calatrava, Negros Occidental",Level 1/Primary,(034) 727-7779
Gov. Valeriano Gatuslao Memorial District Hospital,"Himamaylan, Negros Occidental",Level 1/Primary,(034) 388-3783/744-7274
Jesus M. Colmenares District Hospital,"Balasan, Iloilo",Level 2/Secondary,(033) 397-0879
Eleuterio T. Decena Memorial Hospital,"Bacuyangan, Hinoba-an Negros Occidental",Level 1/Primary,(034) 471-3645
Ignacio Lacson Arroyo Sr. Memorial District Hospital,"Isabela, Negros Occidental",Level 1/Primary,(034) 387-2691
Valladolid District Hospital,"Valladolid, Negros Occidental",Level 2/Secondary,(034) 461-0360
Corazon Locsin Montelibano Memorial Regional Hospital,"Lacson St. Bacolod City, Negros Occidental",Level 4/Specialty,(034) 435-1591/ 434-6947
Bago City Hospital,"Brgy. Balingasag, Bago City Negros Occidental",Level 2/Secondary,(034) 461-0553/ 461-0172
Cadiz District Hospital,"Brgy. Daga National Highway, Hacienda Hortencia, Cadiz City, Negros Occidental",Level 2/Secondary,(034) 213-0236 to 37
Javillonar Clinic & Hospital,"73 Dr. Pilapil Street, Sagad, 1600, Pasig City",Level 1/Primary,6412303
Vicente Gustilo Memorial District Hospital,"Escalante City, Negros Occidental",Level 2/Secondary,(034) 213-0231
Kabankalan City Hospital,"Kabankalan City, Negros Occidental",Level 1/Primary,(034) 473-0547
Lorenzo D. Zayco District Hospital,"Kabankalan City, Negros Occidental",Level 2/Secondary,(034) 471-3645/ 471-3635
Dr. Gumersindo Garcia Sr. Memorial Hospital,"Kabankalan City, Negros Occidental",Level 1/Primary,(034) 471-2113
St. Jude's Hospital,"Kalibo, Aklan",Level 2/Secondary,(036) 268-8864
"Lady of Lourdes Hospital of Caybiga, Inc.","15 Gen. Luis Stre, Caybiga,1420, Kalookan City",Level 2/ Secondary,9835582
Don Salvador Benedicto Memorial Hospital,"La Carlota City, Negros Occidental",Level 2/Secondary,(034) 460-3360
Alfredo Maranon Sr. Memorial Hospital,"Brgy. Bato, Sagay City, Negros Occidental",Level 2/Secondary,(034) 722-4819/ 488-0167
Las Piñas City Doctors Hospital Inc,"8009 J.I. Aguilar Avenue, Pulang Lupa II, 1750, Las Piñas City",Level 4/ Specialty,8297715
San Carlos City Hospital,"San Carlos City, Negros Occidental",Level 2/Secondary,(034) 729-4151/ 312-5934
Teresita L. Jalandoni Provincial Hospital,"Silay City, Negros Occidental",Level 2/Secondary,(034) 495-1736/ 714-8485
Las Piñas City Medical Center,"1314 Marcos Alvarez,Talon V, Las Piñas City",Level 3/ Tertiary,
Aklan Cooperative Mission Hospital,"Kalibo, Aklan",Level 2/Secondary,(036) 262-4704/ 262-3925
Manila Adventist Medical Center & Colleges Inc.,"1975 Donada Street, 1300, Pasay City",Level 4/ Specialty,
St. Gabriel Hospital,"Kalibo, Aklan",Level 3/Tertiary,(036) 262-7193/ 262-7315
Aklan Baptist Hospital,,Level 2/Secondary,(036) 288-7063
Tugon Medical Clinic and Hospital,,Level 1/Primary,(036) 278-9100
Hospital de San Juan Bautista,"Kap. Isko, Brgy II, Lian , Batangas",Level 2/Secondary,(043) 333-0269
Don Ramon Tugbang Medical Center (Formerly Barotac Viejo Medical Center),"Zulueta Drive, Barotac Viejo, Iloilo",Level 2/Secondary,(033) 362-0262 to 64
Semirara Mining Corporation Hospital,"Semirara, Caluya Antique",Level 1/Primary,0921-8488995
Manila Doctors Hospital,"667 U.N. Avenue, Ermita, 1000, Manila",Level 4/ Specialty,5243011/5247376
Great Saviour International Hospital,"Solis St. Tap-oc, Molo, Iloilo City",Level 3/Tertiary,(033) 508-2227
Manila Naval Hospital,"Bonifacio Naval Station, Fort Bonifacio, Taguig City",Level 2/ Secondary,8928261
Iloilo Mission Hospital,"Mission Road, Jaro, Iloilo City",Level 4/Specialty,contact numberl (033) 320-0321
Zigzag Hospital,"P. Niogan, Mabini, Batangas",Level 1/Primary,(043) 487-0645
Maria Lourdes Maternity Hospital,"1076 Don Chino Roces Avenue, 1231, Makati City",Level 1/ Primary,8953846/8953847
St. Paul's Hospital,,Level 4/Specialty,(033) 337-2741/ 335-1177
Martinez Memorial Hospital,"198 Mabini Street, 1400 , Kalookan City",Level 2/ Specialty,2888661
Amosup Seamen's Hospital,"Onate St., Mandurriao, Iloilo City",Level 3/Tertiary,(033) 362-0262
Iloilo Doctor's Hospital Inc.,"West Avenue, Molo, Iloilo City",Level 4/Specialty,(033) 508-7045
Mary Chiles General Hospital,"667 Gastambide Street, Sampaloc, 1008. Manila",Level 4/ Specialty,7355341
St. Therese MTC College Hospital,"Jalandoni, San Agustin, Iloilo City",Level 3/Tertiary,(033) 508-2227
St. Anthony College Hospital,"San Roque Ext. Roxas City, Capiz",Level 3/Tertiary,(036) 621-6003
St. Nazarius Medical Clinic,"Pres. Laurel Highway, Malvar, Batangas",Level 1/Primary,(043) 406-0704
Mary Immaculate Hospital,"E. Rodriguez Ave., Bagong Ilog, 1600, Pasig City",Level 2/ Secondary,6713928
Capiz Doctor's Hospital,"Fuentes Drive, Roxas City, Capiz",Level 2/Secondary,(036) 621-5673 to 75
Capiz Emmanuel Hospital Inc.,"Roxas Avenue, Roxas City, Capiz",Level 3/Tertiary,(036) 621-4765
Medical Center Manila,"1122 Gen. Luna St., Ermita, 1000, Manila",Level 4/ Specialty,5243440
Bacolod Adventist Medical Center,"Taculing, Bacolod City, Negros Occidental",Level 4/Specialty,(034) 433-2255/ 432-0001
Mataas na Kahoy Community Hospital,"Rafael Lubis St., Mataas na Kahoy, Batangas",Level 2/Secondary,(043) 756-2279
Metro Psychotherapy Facility,"520 Dr. Sixto Antonio Avenue, Maybunga, Pasig City",,026436006
The Doctors Hospital Inc.,"B.S. Aquino Drive, Bacolod City Negros Occidental",Level 4/Specialty,(034) 433-1256
Dr. Pablo S. Torre Sr. Memorial Hospital,"Sen. B. Aquino Drive, Bacolod City, Negros Occidental",Level 4/Specialty,(034) 433-4093
Central Azucarrera Don Pedro Hospital,"Lumbagan, Nasugbu, Batangas",Level 2/Secondary,931-1035
Bacolod Our Lady of Mercy Specialty Hospital,"Eureco, Mandalagan Bacolod City, Negros Occidental",Level 3/Tertiary,(034) 434-9274
Metropolitan Hospital,"1357 Masangkay Street, Tondo, 1012. Manila",Level 4/ Specialty,2547356
Southern Negros Doctors' Hospital,"Don Emilio Village, Kabankalan City, Negros Occidental",Level 2/Secondary,(034) 471-3353
Mission Hospital,"Km. 17 Ortigas Avenue Extension, Rosario 1600, Pasig City",Level 2/ Secondary,6562816/0877/6554337
San Carlos Doctors' Hospital,"National Highway, San Carlos City, Negros Occidental",Level 2/Secondary,(034) 729-4049/729-4050/312-5609
Mother Regina Medical Facilites Inc. (Formerly Mother Regina Hospital),"2 Ruby Street, Dona Juana Subdivision, Rosario, 1609, Pasig City",Level 2/ Secondary,6412922/6413360
Immaculate Concepcion Health Center,"Victorias City, Negros Occidental",Level 1/Primary,(034) 399-2719
Metropolitan Medical Center - Nasugbu Branch,"Brgy. Batulao, Nasugbu, Batangas",Level 3/Tertiary,
Lopez District Farmers Hospital,"Sagay City, Negros Occidental",Level 2/Secondary,
M-TECH Medical Hospital,"379 Sen. Gil Puyat Avenue, Makati City",,8966751
New Bilibid Prisons Hospital,"Bu. of Corrections, NBP Reservation, 1702, Muntinlupa City",Level 2/ Secondary,8500143
Baliuag District Hospital,"Carpa Village, Sabang, Baliuag, Bulacan, Philippines",Level 2/ Secondary,044-7662364/2338
Rugay Maternity and General Hospital,"Sabang, Baliuag 237 M. Ponce St., Baliuag, Bulacan, Philippines",Level 2/ Secondary,044-7663457;7664629
Gregorio Del Pilar District Hospital,"Bagumbayan, Bulacan, Hilario St., Pob. Bustos",Level 2/Secondary,7922920
North Caloocan Doctors Hospital,"Lot 31, Blk. 10, Bankers Village 2, Quirino, Highway, Kalookan City",Level 2/ Secondary,9615213
Overseas Contact Workers General Hospital,"39 Tandang Sora Avenue, Brgy. Culiat, Quezon City",Level 2/ Secondary,9313529
Gregorio Del Pilar District Hospital,"Bagumbayan, Bulacan, Bulacan, Philippines",Level 2/ Secondary,7922920
Olivarez General Hospital,"Dr. A. Santos Avenue, Sucat Road, 1700, Paranaque City",Level 2/ Secondary,8258747
Gregorio Del Pilar District Hospital,"Bagumbayan, Bulacan, Hilario St., Pob. Bustos",Level 2/Secondary,7922920
Our Lady of Grace Hospital,"8th Avenue cor F. Roxas St,, Grace Park,1400, Kalookan city",Level 2/ Secondary,3611124
Dr. Romeo Isana Rosales General Hospital,"Batangas-Quezon Road, Padre Garcia, Batangas",Level 2/Secondary,(043) 515-9190
Palma-Malaluan Hospital,"J. Magtibay St., Rosario, Batangas",Level 2/Secondary,(043) 321-1410/0322
Our Lady of Lourdes Hospital,"46 P. Sanchez Street, Sta. Mesa, Manila",Level 4/ Specialty,7163901 to 20/7140046
Sto. Rosario Hospital,"V. Escano cor. Recto Sts., Rosario, Batangas",Level 2/Secondary,(043) 321-1025
Our Lady of Peace Hospital,"Coastal Road, Brgy, San Dionisio,Paranaque",Level 2/ Secondary,8295775/5720
Untalan General Hospital,"87 Gualberto Ave., Rosario, Batangas",Level 2/Secondary,(043) 321-1563
Solomon's Clinic,"Gen. Luna St., San Juan, Batangas",Level 1/Primary,(043) 575-4097
Divine Care Hospital Multi Services Corp.,"National Highway, Sico II, San Juan, Batangas",Level 2/Secondary,(043) 575-3408
"San Juan Doctor's Hospital, Inc.","Pulo, Calit-Calit, San Juan, Batangas",Level 2/Secondary,(043) 575-3138
P. Gonzales Memorial Hospital Inc.,"582 J.P. Rizal St., Lamuan, Malanday, Marikina City",Level 1/ Primary,9337231
Duque General Hospital,"San Juan, Batangas",Level 2/Secondary,(043) 575-5090
St. Nicholas Doctos General Hospital,"Pob., San Nicolas, Batangas",Level 1/Primary,(043) 210-5381
St. Frances Cabrini Medical Center,"Maharlika Highway, Sto. Tomas, Batangas",Level 3,(043) 7784811-15
Gregorio Del Pilar District Hospital,"Bagumbayan,Bulacan",Level 2 /Secondary,044-7920119; fax 7922920
Pamplona Medical Clinic,"46 Real St., Pamplona, 1701, Las Piñas City",Level 2/ Secondary,8730524/8576
Sto. Tomas General Hospital,"Pres. Laurel Highway, Sto. Tomas, Batangas",Level 2/Secondary,(043) 778-2117
Camarines Norte Provincial Hospital,"Daet, Camarines Norte",Level 3/Tertiary,056-7215457
Pascual General Hospital,"130 Quirino Highway Baesa, Quezon City",Level 2/Secondary,3625862
Labo District Hospital,"Labo, Camarines Norte",Level 2/Secondary,
Mendoza General Hospital,"Poblacion, Sta. Maria, Bulacan, Philippines",Level 2/ Secondary,044-8407086/6411582
The Lord's Hospital,"Meymart Road, Calvario,Meycauayan, Bulacan, Philippines",Level 2/ Secondary,044-8403381
Pasig Medical & Maternity Hospital Foundation Inc.,"101 London Street, Pasig Greenpark Village, Mangahan, 1600, Pasig City",Level 1/ Primary,6461067
Bicol Sanitarium,Cabusao Camarines Sur,Level 1/Primary-DOH Retained,(054)473-2244/ (054)472-4422
Caramoan Municipal Hospital,"Tawog, Caramoan, Camarines Sur",Level 1/Primary,63-054-4754917
Pasolo Maternity & Medical Clinic Inc.,"152 Pasolo St., Valenzuela City 1405",Level 1/ Primary,2923805
Perpetual Help Hospital,"1504 Laong Laan St., Sampaloc, 1008, Manila",Level 3/ Tertiary,7318177
Garchitorena Medicare Community Hospital,Catnub Pambuhan Garchitorena Camarines Sur,Level 1/Primary,
Philippine Air Force General Hospital,"Villamor Air Base, 1309, Pasay City",Level 3/ Tertiary,8535056
PNP General Hospital,"EDSA, Camp Crame, Quezon City",Level 3/ Tertiary,7230401 loc3066/7220670
San Miguel District Hospital,"Sta. Rita Old,San Miguel, Bulacan, Philippines",Level 2/ Secondary,044-6782070/7640130
Emmanuel Hospital,"San Jose, San Miguel, Bulacan, Philippines",Level 2/ Secondary,044-7640264/6780100/9133
Libmanan District Hospital,"Libmanan, Camarines Sur",Level 2/Secondary,(054) 511-8225
St. Vincent de Paul Hospital,"Pob. 2, Sto. Tomas, Batangas",Level 2/Secondary,(043) 778-1060
Ocampo Municipal Hospital,"Ocampo, Camarines sur",Level 1/Primary,475-3418/477-3160
St. Mary's Medical Services Inc.,"J.P. Rizal Street, Sta. Maria, Bulacan, Philippines",Level 2/ Secondary,044-6411416
